	userID	nb.Ratings	mean	sd	max	min	med
139	295	196	4,24	0,79	5	1	4
140	233	110	4,35	0,79	5	2	5
141	214	128	3,9	0,83	5	2	4
142	192	35	3,51	1,09	5	1	4
143	100	59	3,07	1,05	5	1	3
144	307	112	3,79	1,03	5	1	4
145	297	192	3,44	1,07	5	1	3
146	193	121	3,17	1,11	5	1	3
147	113	51	3,73	1,11	5	1	4
148	275	95	3,12	0,6	4	2	3
149	219	28	3,71	1,58	5	1	4
150	218	53	3,6	0,82	5	2	4
151	123	54	3,85	1,11	5	1	4
152	158	173	3,8	1	5	1	4
153	302	21	2,43	0,87	4	1	2
154	23	151	3,64	0,96	5	1	4
155	296	147	4,18	1,19	5	1	5
156	33	24	3,71	0,55	5	3	4
157	154	51	3,96	0,89	5	2	4
158	77	72	3,61	1,21	5	1	4
159	270	138	4,33	0,99	5	1	5
160	187	56	4,07	0,91	5	1	4
161	170	22	3,77	0,92	5	3	3
162	101	67	2,9	0,87	5	1	3
163	184	251	3,66	0,83	5	1	4
164	112	46	3,7	1,07	5	1	4
165	133	26	3,19	1,1	5	1	3
166	215	93	3,77	0,89	5	2	4
167	69	65	3,85	1,06	5	1	4
168	104	111	2,67	1,15	5	1	3
169	240	24	3,75	1,33	5	1	4
170	144	206	3,67	0,95	5	1	4
171	191	27	3,63	0,79	5	2	4
172	61	21	2,95	1,24	5	1	3
173	142	33	3,64	1,19	5	1	4
174	177	115	3,62	0,99	5	1	4
175	203	43	3,42	1,05	5	1	3
176	21	179	2,67	1,33	5	1	3
177	197	118	3,34	1,23	5	1	3
178	134	25	3,64	1,08	5	2	4
179	180	63	3,94	1,31	5	1	4
180	236	124	3,48	1,17	5	1	4
181	263	123	4,05	1	5	1	4
182	109	234	3,44	1,14	5	1	3
183	64	200	3,58	1	5	1	4
184	114	48	3,6	0,92	5	2	3
185	239	159	4,21	1,25	5	1	5
186	117	86	3,92	1,03	5	1	4
187	65	80	3,94	0,89	5	1	4
188	137	47	4,32	1,11	5	1	5
189	257	57	4,04	0,96	5	2	4
190	111	24	3,54	0,93	5	2	4
191	285	32	3,94	0,84	5	2	4
192	96	56	4,27	0,94	5	1	4,5
193	116	143	3,01	0,98	5	1	3
194	73	66	3,73	1,16	5	1	4
195	221	146	3,62	0,9	5	1	4
196	235	94	3,98	0,83	5	1	4
197	164	63	4,13	0,96	5	2	4
198	281	26	3,19	1,23	5	1	3
199	182	28	3,86	0,93	5	2	4
200	129	30	2,6	1,16	5	1	2
201	45	48	3,6	0,92	5	2	4
202	131	30	4,13	1,04	5	1	4
203	230	133	3,85	1,14	5	1	4
204	126	45	3,53	1,18	5	1	4
205	231	21	3,67	0,91	5	1	4
206	280	258	3,58	1	5	1	3,5
207	288	75	3,88	1,21	5	1	4
208	152	106	4,32	0,99	5	1	5
209	217	76	2,96	1,38	5	1	3
210	79	55	4	1,04	5	2	4
211	75	79	3,28	1,36	5	1	4
212	245	22	3,27	1,12	5	1	3,5
213	282	22	3,5	1,01	5	1	4
214	78	21	3,38	1,28	5	1	4
215	118	71	4,66	0,75	5	1	5
216	283	53	4,13	0,83	5	2	4
217	171	28	3,46	0,74	5	2	4
218	107	22	3	1,27	5	1	3
219	226	50	3,8	0,93	5	1	4
220	306	32	3,78	1,01	5	1	4
221	173	43	4,21	0,83	5	1	4
222	185	48	4,04	0,71	5	1	4
223	150	32	3,84	1,02	5	1	4
224	274	71	4,06	0,98	5	1	4
225	188	112	3,77	0,98	5	1	4
226	48	66	3,79	1,05	5	1	4
227	311	294	3,8	0,87	5	1	4
228	165	30	4	0,87	5	2	4
229	208	33	3,79	1,02	5	1	4
230	2	62	3,71	1,03	5	1	4
231	205	22	2,86	1,04	4	1	3
232	248	56	3,57	1,19	5	1	4
233	93	20	3,35	1,23	5	1	4
234	159	107	3,43	1,34	5	1	4
235	146	29	3,62	1,21	5	1	4
236	29	34	3,65	0,88	5	2	4
237	156	37	3,73	0,8	5	2	4
238	37	57	3,65	0,99	5	1	4
239	141	107	3,43	1,34	5	1	4
240	195	96	3,29	1,03	5	1	3
241	108	33	3,58	0,97	5	2	3
242	47	25	3,64	0,91	5	2	4
243	255	83	2,54	1,32	5	1	2
244	89	76	4,04	1,15	5	1	4
245	140	21	3,43	0,81	5	2	3
246	190	59	3,32	0,99	5	1	3
247	24	68	4,32	0,82	5	2	5
248	17	28	3,04	1,14	5	1	3
249	313	262	3,6	1	5	1	4
250	53	28	3,82	0,9	5	2	4
251	124	24	3,5	1,02	5	1	3,5
252	149	36	2,89	1,12	5	1	3
253	176	63	3,7	1,04	5	1	4
254	106	64	3,77	0,71	5	2	4
255	312	223	4,38	0,92	5	1	5
256	175	38	3,74	1,13	5	1	4
257	153	23	2,96	1,49	5	1	3
258	220	22	3,77	0,92	5	1	4
259	143	20	3,9	1,02	5	2	4
260	199	40	2,95	1,57	5	1	3
261	202	20	2,8	1,28	5	1	3
262	277	54	3,5	0,84	5	1	4
263	206	64	2,17	1,46	5	1	1
264	76	82	3,56	1,12	5	1	4
265	314	245	3,68	1,15	5	1	4
266	136	35	4,34	0,73	5	2	4
267	179	42	3,05	1,59	5	1	3
268	4	24	4,33	0,92	5	2	5
269	304	26	3,38	1,06	5	1	3
270	3	54	2,8	1,22	5	1	3
271	227	58	3,45	1,06	5	1	4
272	252	21	4,43	0,68	5	3	5
273	212	25	3,92	1,29	5	1	4
274	310	21	3,86	1,42	5	1	4
275	35	25	3	0,96	5	1	3
276	147	20	4,2	0,83	5	2	4
277	105	23	3,39	1,08	5	2	3
278	34	20	4,05	1,39	5	1	5
279	71	38	3,79	1,04	5	1	4
280	51	23	3,57	1,2	5	1	4
281	204	42	3,45	1,35	5	1	4
282	315	87	4,01	0,93	5	1	4
283	31	36	3,92	0,97	5	2	4
284	316	75	3,36	1,44	5	1	4
285	103	29	3,62	0,94	5	1	4
286	318	174	3,71	1,03	5	1	4
287	30	43	3,77	1	5	1	4
288	120	26	3,58	0,99	5	2	4
289	46	27	4,11	0,93	5	2	4
290	289	27	2,93	1,07	5	1	3
291	209	33	3,18	1,24	5	1	3
292	261	27	4,11	0,89	5	2	4
293	88	21	3,95	1,16	5	1	4
294	9	22	4,27	0,94	5	1	4
295	247	26	3,92	0,89	5	2	4
296	321	125	3,74	0,74	5	2	4
297	266	23	3,26	1,1	5	1	3
298	74	39	3,64	0,71	5	2	4
299	238	29	3,28	0,84	5	1	3
300	319	23	3,48	0,79	5	2	3
301	323	89	3,62	0,96	5	1	4
302	67	30	3,77	0,9	5	1	4
303	211	37	3,19	1,13	5	1	3
304	98	27	3,59	1,31	5	1	3
305	12	51	4,39	0,78	5	1	5
306	40	35	2,89	0,96	4	1	3
307	258	23	3,74	1,39	5	1	4
308	228	21	3,14	1,49	5	1	3
309	325	142	3,41	1,12	5	1	3
310	320	154	3,72	0,84	5	1	4
311	326	187	3,33	1,21	5	1	3
312	327	284	3,31	0,92	5	1	4
313	183	53	3,19	1	5	1	3
314	328	283	3,43	0,91	5	1	3
315	322	51	4,18	0,84	5	2	4
316	330	147	4,5	0,73	5	2	5
317	27	25	3,24	0,88	5	2	3
318	331	70	3,64	1,06	5	1	4
319	332	183	4,15	0,91	5	2	4
320	329	65	3,4	0,83	5	2	3
321	86	23	3,52	1,16	5	1	3
322	139	24	4	0,83	5	2	4
323	300	20	3,75	1,02	5	1	4
324	163	23	3,3	0,88	5	1	3
325	333	26	3,85	0,97	5	1	4
326	334	333	3,52	0,91	5	1	4
327	39	22	3,77	0,92	5	2	4
328	324	66	4,35	0,81	5	1	5
329	132	22	3,77	0,69	5	3	4
330	336	130	2,96	1,28	5	1	3
331	335	22	3,55	1,22	5	1	4
332	169	37	3,97	0,99	5	1	4
333	338	75	4	0,94	5	1	4
334	339	254	4	0,92	5	1	4
335	309	20	3,5	1,05	5	2	3,5
336	342	201	3,44	1,29	5	1	3
337	340	44	4,16	1,18	5	1	5
338	317	22	3,55	0,86	5	2	4
339	341	21	3,81	1,12	5	1	4
340	343	237	3,99	1,09	5	1	4
341	344	190	3,67	1,02	5	1	4
342	345	232	3,65	0,92	5	1	4
343	346	193	3,29	1,15	5	1	3
344	347	199	3,57	1,32	5	1	4
345	273	22	3,64	0,73	5	2	4
346	55	21	3,29	1,49	5	1	3
347	349	41	3,2	1,1	5	1	3
348	348	58	3,9	0,69	5	2	4
349	354	233	3,74	0,87	5	1	4
350	351	44	4,16	0,94	5	1	4
351	358	43	3,7	1,21	5	1	4
352	352	42	3,74	1,19	5	1	4
353	360	102	3,96	0,86	5	2	4
354	363	311	3,05	1,28	5	1	3
355	355	26	4,08	0,48	5	3	4
356	362	25	3,36	1,52	5	1	4
357	357	76	4,13	0,9	5	2	4
358	356	24	3,58	1,14	5	1	4
359	361	121	3,78	0,96	5	1	4
360	365	58	3,38	1,18	5	1	4
361	350	50	4,32	0,82	5	2	4,5
362	367	58	4,16	0,74	5	2	4
363	368	45	3,29	1,1	5	1	3
364	371	51	4,1	0,94	5	1	4
365	373	233	3,73	0,95	5	1	4
366	370	75	3,69	0,94	5	1	4
367	374	274	3,31	1,3	5	1	3
368	372	66	4,3	0,7	5	2	4
369	337	34	3,94	1,13	5	1	4
370	378	375	3,42	0,8	5	1	3
371	366	33	4,39	1,09	5	1	5
372	377	33	3,91	0,95	5	2	4
373	375	28	3,68	0,86	5	2	4
374	359	27	3,93	0,78	5	3	4
375	379	196	3,99	0,94	5	1	4
376	380	162	3,2	0,92	5	1	3
377	381	127	3,81	1,11	5	1	4
378	385	281	3,3	1,22	5	1	3
379	382	53	3,47	1,05	5	1	3
380	387	304	3,36	1,21	5	1	3
381	364	20	3,45	1,1	5	1	4
382	369	22	4	1,02	5	2	4
383	388	52	4,17	0,86	5	2	4
384	386	23	3,65	0,83	5	2	4
385	389	271	3,7	1,03	5	1	4
386	383	71	4,38	0,85	5	2	5
387	390	31	3,84	1,19	5	1	4
388	393	448	3,34	0,82	5	1	3
389	392	111	4,05	1,12	5	1	4
390	376	30	3,73	0,69	5	3	4
391	394	149	3,86	0,94	5	1	4
392	391	121	3,77	1,01	5	1	4
393	398	172	3,71	0,94	5	2	4
394	397	102	3,71	1,33	5	1	4
395	399	319	2,94	0,79	5	1	3
396	396	54	3,41	0,79	5	2	3
397	401	153	3,12	1,11	5	1	3
398	402	68	3,9	0,99	5	1	4
399	384	22	4,14	0,56	5	3	4
400	395	57	3,89	1,1	5	1	4
401	353	25	3,36	1,35	5	1	4
402	403	50	3,68	1,24	5	1	4
403	405	737	1,83	1,35	5	1	1
404	400	22	3,59	0,8	5	2	4
405	406	342	3,53	1,07	5	1	4
406	407	226	3,47	0,86	5	1	4
407	409	203	3,59	1,16	5	1	4
408	404	44	3,25	1,1	5	1	3
409	413	50	3,66	1	5	1	4
410	416	493	3,85	1,09	5	1	4
411	408	27	3,74	1,1	5	1	4
412	410	28	3,04	1,04	5	1	3
413	411	58	3,78	0,77	5	2	4
414	417	365	3,25	0,94	5	1	3
415	412	51	3,94	0,73	5	2	4
416	420	36	4,17	0,85	5	3	4
417	422	97	3,46	0,92	5	1	4
418	425	204	2,96	1,09	5	1	3
419	419	32	4,22	0,91	5	1	4
420	415	24	4,17	1,05	5	1	4
421	423	64	3,58	0,92	5	1	4
422	429	414	3,39	0,91	5	1	3
423	428	55	3,93	0,81	5	1	4
424	427	31	4,55	0,77	5	2	5
425	418	20	2,9	1,52	5	1	2,5
426	424	44	3,36	1,33	5	1	3,5
427	432	62	3,71	1,08	5	1	4
428	421	62	3,85	1,04	5	1	4
429	435	379	3,32	1,07	5	1	3
430	433	41	3,51	1,33	5	1	3
431	426	101	3,83	0,81	5	1	4
432	436	145	3,75	0,9	5	1	4
433	430	65	3,55	0,98	5	1	4
434	434	44	3,7	1,42	5	1	4
435	437	263	3,58	1,16	5	1	4
436	438	33	4,06	0,93	5	2	4
437	431	21	3,38	0,74	5	2	3
438	442	143	3,13	0,92	5	1	3
439	440	51	4,18	1,18	5	1	5
440	445	135	1,99	1,1	5	1	2
441	447	139	3,6	0,98	5	1	4
442	449	75	3,75	1,15	5	1	4
443	450	540	3,86	0,86	5	1	4
444	446	36	2,75	0,91	5	1	3
445	439	31	3,71	0,86	5	2	4
446	451	98	2,73	1,37	5	1	3
447	452	206	3,41	1,24	5	1	4
448	454	236	2,98	0,93	5	1	3
449	453	156	3,29	1,05	5	1	3
450	414	25	3,88	1,13	5	1	4
451	455	189	3,5	0,75	5	1	4
452	444	24	3,79	1,1	5	1	4
453	448	38	3,34	1,42	5	1	4
454	457	277	4,03	0,95	5	1	4
455	456	217	3,46	0,84	5	1	4
456	458	183	3,69	1,11	5	1	4
457	462	33	4	1,32	5	1	5
458	459	118	3,38	1,05	5	1	3
459	460	68	3,41	0,88	5	2	3
460	461	23	3	1,13	5	1	3
461	467	44	3,68	0,98	5	2	4
462	468	143	3,99	0,9	5	2	4
463	466	101	3,47	1,13	5	1	3
464	472	263	4,23	0,92	5	1	4
465	465	80	3,44	0,81	5	1	3
466	463	133	2,86	1,29	5	1	3
467	471	31	3,39	1,52	5	1	4
468	474	327	4,08	0,82	5	1	4
469	469	43	4,53	0,55	5	3	5
470	464	53	4,04	0,88	5	2	4
471	476	83	3,37	1,02	5	1	4
472	478	113	3,42	1,25	5	1	4
473	473	35	3,91	0,92	5	2	4
474	470	57	3,58	0,8	5	2	4
475	480	60	3,73	0,9	5	1	4
476	441	20	3,5	0,76	5	2	4
477	479	202	3,42	1,19	5	1	4
478	484	139	3,99	0,99	5	1	4
479	486	189	3,22	0,99	5	1	3
480	487	231	3,65	1,16	5	1	4
481	482	26	3,42	0,76	5	2	3,5
482	481	56	3,98	0,9	5	1	4
483	492	55	3,53	1,03	5	1	3
484	493	135	3,76	1,19	5	1	4
485	490	57	2,79	1,22	5	1	3
486	489	109	3,72	1,1	5	2	4
487	483	59	3,05	0,94	5	1	3
488	496	129	3,03	1,28	5	1	3
489	494	47	3,87	1,1	5	1	4
490	495	213	3,95	1,13	5	1	4
491	477	35	4,46	0,51	5	4	4
492	497	279	3,18	0,91	5	1	3
493	488	154	3,36	0,91	5	1	4
494	498	149	3,29	0,92	5	1	3
495	499	102	3,86	1,02	5	1	4
496	491	33	3,85	1,23	5	1	4
497	500	225	3,34	1,01	5	1	3
498	502	37	3,11	1,13	5	1	3
499	503	160	4,02	1,24	5	1	5
500	504	251	3,62	0,82	5	1	4
501	505	112	3,37	1	5	1	3
502	506	242	3,67	1,08	5	1	4
503	443	24	3,38	1,5	5	1	3,5
504	507	58	4,72	0,77	5	1	5
505	514	194	3,84	0,89	5	1	4
506	508	87	3,83	0,98	5	1	4
507	511	24	3,75	1,11	5	1	4
508	515	40	3	0,93	5	1	3
509	512	21	4,33	0,86	5	2	5
510	513	22	4,36	0,73	5	3	4,5
511	475	20	3,6	1,35	5	1	4
512	523	100	4,36	0,72	5	2	4
513	518	73	3,64	1,1	5	1	4
514	509	33	2,52	1,33	5	1	2
515	516	21	4,1	0,77	5	3	4
516	510	30	2,77	1,1	5	1	3
517	524	306	3,49	1,06	5	1	4
518	501	73	3,77	0,59	5	3	4
519	525	54	3,3	0,9	5	1	3
520	521	150	3,14	0,87	5	1	3
521	520	23	3,43	1,31	5	1	4
522	519	49	4,12	1,41	5	1	5
523	528	53	3,72	1,08	5	1	4
524	532	274	4,12	0,97	5	1	4
525	530	45	3,89	0,78	5	2	4
526	531	30	3,23	1,65	5	1	4
527	529	43	3,6	0,88	5	1	4
528	517	37	3,3	1,24	5	1	3
529	527	137	3,83	0,95	5	1	4
530	485	26	3,04	1,11	5	1	3
531	533	260	3,38	1,06	5	1	4
532	535	218	3,94	0,85	5	1	4
533	536	163	3,87	0,98	5	1	4
534	526	68	3,24	1,27	5	1	3
535	537	490	2,87	0,97	5	1	3
536	534	80	4,08	0,85	5	1	4
537	541	133	3,62	1,12	5	1	4
538	538	81	3,62	0,94	5	1	4
539	542	135	3,49	0,8	5	2	4
540	545	162	3,51	0,83	5	1	3
541	539	56	3,98	0,9	5	2	4
542	547	23	3,65	1,03	5	1	4
543	543	197	3,53	0,73	5	2	4
544	548	155	3,67	1,21	5	1	4
545	546	59	3,9	1,11	5	1	4
546	522	30	4,33	0,8	5	2	4,5
547	551	334	3,8	1,35	5	1	4
548	544	31	2,81	1,01	5	1	3
549	553	100	4,17	0,78	5	2	4
550	552	84	3,1	0,55	4	2	3
551	540	63	3,71	0,61	5	2	4
552	554	114	3,57	0,79	5	1	4
553	550	40	3,67	1,21	5	1	4
554	556	44	4,2	1,19	5	1	5
555	559	76	3,58	1,1	5	1	4
556	560	101	3,4	0,94	5	1	3
557	561	357	3,03	1,01	5	1	3
558	563	30	3,77	1,07	5	1	4
559	566	149	3,44	1,11	5	1	4
560	557	53	3,75	1,07	5	1	4
561	558	20	4,2	0,83	5	2	4
562	564	34	3,41	0,66	4	2	3,5
563	565	35	4,54	0,7	5	2	5
564	573	51	3,75	0,63	5	2	4
565	549	25	3,72	0,84	5	2	4
566	567	155	3,95	0,99	5	1	4
567	569	70	3,49	0,91	5	1	3
568	562	72	3,54	1,46	5	1	4
569	576	36	3,53	0,88	5	1	4
570	577	188	3,8	0,84	5	1	4
571	579	74	3,47	0,91	5	1	3
572	574	46	3,52	1,19	5	1	4
573	555	52	4,02	0,7	5	2	4
574	572	20	3,25	1,16	5	1	3,5
575	575	26	3,15	1,46	5	1	3
576	584	24	3,54	0,93	5	1	4
577	588	225	3,74	1,19	5	1	4
578	587	98	2,97	1,05	5	1	3
579	568	81	3,37	1,15	5	1	4
580	586	166	3,33	0,87	5	1	3
581	585	80	3,74	0,94	5	2	4
582	582	62	3,27	1,15	5	1	3
583	591	84	3,65	0,78	5	2	4
584	581	28	4,04	1	5	2	4
585	592	360	3,81	1,35	5	1	4
586	580	47	3,55	1,16	5	1	3
587	590	48	3,5	1,19	5	1	4
588	593	156	3,61	1,08	5	1	4
589	583	27	4,44	0,7	5	2	5
590	596	20	3,6	0,88	5	2	4
591	570	22	2,68	1,29	5	1	3
592	599	47	3,89	1,09	5	1	4
593	589	43	3,44	1,48	5	1	4
594	594	25	3,48	0,65	5	2	3
595	597	41	3,63	1,2	5	1	4
596	578	24	2,67	1,09	5	1	3
597	601	148	3,08	1,32	5	1	3,5
598	602	29	3,79	0,77	5	2	4
599	600	89	3,58	1,01	5	1	4
600	605	90	3,76	1,19	5	1	4
601	603	47	3,79	1,1	5	1	4
602	595	96	3,2	1,07	5	1	3
603	606	236	3,97	0,88	5	1	4
604	608	163	3,67	1,24	5	1	4
605	607	37	3,84	0,69	5	2	4
606	610	75	3,73	1,07	5	1	4
607	611	42	3,83	1,1	5	1	4
608	617	108	2,62	1,34	5	1	3
609	618	216	3,29	0,98	5	1	3
610	614	39	3,13	1,1	5	1	3
611	609	28	2,39	1,75	5	1	1
612	615	103	3,86	1,09	5	1	4
613	616	43	3,63	0,79	5	2	4
614	620	110	3,83	1,01	5	1	4
615	571	20	3,45	0,76	4	2	4
616	619	89	3,51	1,27	5	1	4
617	613	28	4,32	0,86	5	2	5
618	622	228	3,39	1,14	5	1	4
619	621	171	3,55	1,05	5	1	4
620	604	27	3,3	1,27	5	1	3
621	624	141	3,53	0,75	5	1	4
622	612	27	3,37	0,97	5	2	3
623	627	181	3,29	1,08	5	1	3
624	623	45	3,73	1,05	5	1	4
625	628	27	4,7	0,72	5	2	5
626	625	106	3,43	0,73	5	2	3
627	629	121	4,08	0,99	5	1	4
628	633	58	3,31	0,75	5	1	3
629	632	118	3,66	1,02	5	1	4
630	631	20	3,1	0,91	4	2	3
631	634	135	3,37	0,95	5	1	3
632	639	148	2,96	1,14	5	1	3
633	630	108	3,32	1,06	5	1	3
634	642	318	3,62	1,16	5	1	4
635	637	104	2,49	1,2	5	1	2
636	640	109	4,23	0,81	5	1	4
637	626	32	2,34	1,54	5	1	1,5
638	643	206	3,74	0,8	5	2	4
639	598	25	3,68	1,03	5	2	4
640	638	67	3,54	1,03	5	1	4
641	635	34	3,26	1,08	5	1	3
642	644	42	4	0,62	5	1	4
643	636	20	4,45	0,83	5	3	5
644	645	122	3,96	0,86	5	1	4
645	648	297	3,26	1,27	5	1	3
646	647	58	3,83	0,65	5	2	4
647	650	311	3,15	0,8	5	1	3
648	651	21	3,29	1,38	5	1	3
649	654	147	3,69	1,09	5	1	4
650	653	283	2,69	1,18	5	1	3
651	655	685	2,91	0,73	5	1	3
652	649	24	3,79	0,98	5	2	4
653	658	71	3,73	0,81	5	2	4
654	656	24	2,54	1,1	5	1	3
655	660	224	2,58	0,97	5	1	2
656	659	191	3,79	0,84	5	1	4
657	646	38	2,95	0,7	5	1	3
658	663	158	3,53	0,91	5	1	4
659	664	166	3,75	0,94	5	1	4
660	657	29	3,24	1,21	5	1	4
661	665	142	3,48	0,78	5	1	4
662	666	245	3,67	0,79	5	2	4
663	661	121	3,92	0,91	5	1	4
664	662	23	3,87	0,97	5	2	4
665	667	47	3,96	1,02	5	1	4
666	641	40	4,12	0,79	5	2	4
667	668	46	3,52	1,05	5	1	4
668	673	35	3,89	0,99	5	1	4
669	671	124	3,58	1,16	5	1	3
670	669	100	3,38	1,17	5	1	3
671	676	77	3,58	1,46	5	1	4
672	674	41	3,66	0,99	5	1	4
673	652	22	3,14	1,04	5	1	3
674	677	49	3,59	1,38	5	1	4
675	682	399	3,14	1,01	5	1	3
676	679	62	3,66	0,97	5	1	4
677	684	86	3,49	0,93	5	1	4
678	685	20	2,05	0,76	3	1	2
679	683	75	3,23	1,02	5	1	3
680	691	32	4,22	1,16	5	1	5
681	672	29	3,24	1,12	5	1	3
682	692	40	3,27	0,88	5	1	3
683	690	115	3,15	1,08	5	1	3
684	689	36	3,83	1,23	5	1	4
685	686	71	4,56	0,87	5	1	5
686	693	154	3,14	0,96	5	1	3
687	688	24	4,83	0,64	5	2	5
688	697	105	3,71	1,27	5	1	4
689	698	127	2,84	1,13	5	1	3
690	670	46	3,85	1,03	5	2	4
691	694	157	4,15	0,64	5	3	4
692	680	38	4	0,77	5	2	4
693	705	114	3,71	1,13	5	1	4
694	701	33	4,21	0,74	5	3	4
695	699	149	3,15	0,74	5	1	3
696	704	90	3,78	1,03	5	2	4
697	707	236	3,5	1,03	5	1	4
698	700	21	3,67	0,73	5	3	4
