"movieID"	"title"	"unknown"	"Action"	"Adventure"	"Animation"	"Children.s"	"Comedy"	"Crime"	"Documentary"	"Drama"	"Fantasy"	"Film.noir"	"Horror"	"Musical"	"Mystery"	"Romance"	"Sci.fi"	"Thriller"	"War"	"Western"	"nb.Ratings"	"mean"	"sd"	"max"	"min"	"med"
16	"Casino (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	682	3.79	0.91	5	1	4
17	"Sense and Sensibility (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	835	4.03	0.9	5	1	4
18	"Four Rooms (1995)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	157	3.34	1.02	5	1	3
19	"Ace Ventura: When Nature Calls (1995)"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	389	2.48	1.18	5	1	2
20	"Money Train (1995)"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	2.54	0.9	4	1	3
21	"Get Shorty (1995)"	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1356	3.62	0.93	5	1	4
22	"Copycat (1995)"	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	378	3.35	0.98	5	1	3
23	"Assassins (1995)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	126	2.86	1	5	1	3
24	"Powder (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	624	3.18	1.07	5	1	3
25	"Leaving Las Vegas (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	980	3.65	1.09	5	1	4
26	"Othello (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	100	3.53	0.95	5	1	4
27	"Now and Then (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	61	2.93	0.98	5	1	3
28	"Persuasion (1995)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	179	4.06	0.87	5	1	4
29	"City of Lost Children, The (1995)"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	403	4.06	1	5	1	4
30	"Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	74	3.65	1.01	5	1	4
31	"Dangerous Minds (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	141	3.11	0.96	5	1	3
32	"Twelve Monkeys (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1511	3.95	0.96	5	1	4
33	"Wings of Courage (1995)"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	3	0.82	4	2	3
34	"Babe (1995)"	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1751	3.89	1.04	5	1	4
35	"Carrington (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	70	3.31	0.91	5	1	3
36	"Dead Man Walking (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	928	3.96	0.87	5	1	4
37	"Across the Sea of Time (1995)"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	3.5	1.41	5	1	4
38	"It Takes Two (1995)"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	28	2.82	1.47	5	1	3
39	"Clueless (1995)"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1362	3.62	0.96	5	1	4
40	"Cry, the Beloved Country (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	30	3.93	0.87	5	2	4
41	"Richard III (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	242	3.96	0.84	5	1	4
42	"Dead Presidents (1995)"	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	221	2.87	1.02	5	1	3
43	"Restoration (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	166	3.45	0.93	5	1	3.5
44	"Mortal Kombat (1995)"	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	2.79	1.05	5	1	3
45	"To Die For (1995)"	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	544	3.42	1	5	1	4
46	"How to Make an American Quilt (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	166	3.11	0.97	5	1	3
47	"Seven (Se7en) (1995)"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1137	4.11	0.94	5	1	4
48	"Pocahontas (1995)"	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	382	2.98	1.1	5	1	3
49	"When Night Is Falling (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	27	3.74	0.98	5	2	4
50	"Usual Suspects, The (1995)"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1783	4.52	0.75	5	1	5
52	"Mighty Aphrodite (1995)"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	431	3.64	0.91	5	1	4
53	"Lamerica (1994)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	4.75	0.46	5	4	5
54	"Big Green, The (1995)"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	41	2.56	1.12	5	1	2
55	"Georgia (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	45	3.07	1.19	5	1	3
56	"Kids of the Round Table (1995)"	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	9	2	1.32	4	1	1
57	"Home for the Holidays (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	99	3.4	1.01	5	1	3
58	"Postino, Il (The Postman) (1994)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	501	4.09	0.9	5	1	4
59	"Confessional, The (Le Confessionnal) (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	8	2.75	1.39	5	1	3
60	"Indian in the Cupboard, The (1995)"	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	357	3.21	1	5	1	3
61	"Eye for an Eye (1996)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	67	3	0.94	5	1	3
62	"Mr. Holland's Opus (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	541	3.7	1.01	5	1	4
63	"Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	111	2.86	1.11	5	1	3
64	"Two if by Sea (1996)"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	79	2.27	0.9	4	1	2
65	"Bio-Dome (1996)"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	143	2.06	1.08	5	1	2
66	"Lawnmower Man 2: Beyond Cyberspace (1996)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	97	1.67	0.85	4	1	1
67	"Two Bits (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	3.25	0.96	4	2	3.5
68	"French Twist (Gazon maudit) (1995)"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	60	3.45	0.87	5	1	4
69	"Friday (1995)"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	319	3.66	1.04	5	1	4
70	"From Dusk Till Dawn (1996)"	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	914	3.16	1.18	5	1	3
71	"Fair Game (1995)"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	2.1	1.05	5	1	2
72	"Kicking and Screaming (1995)"	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	93	3.63	1.05	5	1	4
73	"MisÈrables, Les (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	224	3.82	1.02	5	1	4
74	"Bed of Roses (1996)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	120	2.98	1.1	5	1	3
75	"Big Bully (1996)"	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	12	1.92	1.08	4	1	1.5
76	"Screamers (1995)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	178	2.85	1.03	5	1	3
77	"Nico Icon (1995)"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	34	3.76	0.82	5	2	4
78	"Crossing Guard, The (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	50	3.26	1.07	5	1	3
79	"Juror, The (1996)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	114	2.61	1	5	1	3
80	"White Balloon, The (Badkonake Sefid ) (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	52	3.83	0.79	5	2	4
81	"Things to Do in Denver when You're Dead (1995)"	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	166	3.16	1.13	5	1	3
82	"Antonia's Line (Antonia) (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	89	3.88	1.06	5	1	4
83	"Once Upon a Time... When We Were Colored (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	33	3.7	0.85	5	2	4
84	"Last Summer in the Hamptons (1995)"	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	21	3.1	1.26	5	1	3
85	"Angels and Insects (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	194	3.4	0.99	5	1	4
86	"White Squall (1996)"	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	236	3.39	0.93	5	1	3
87	"Dunston Checks In (1996)"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	76	2.21	1.02	5	1	2
88	"Black Sheep (1996)"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	192	2.94	1.06	5	1	3
89	"Nick of Time (1995)"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	229	3.07	0.89	5	1	3
90	"Journey of August King, The (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	3.67	1.03	5	2	4
92	"Mary Reilly (1996)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	88	2.34	1.02	5	1	2.5
93	"Vampire in Brooklyn (1995)"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	89	2.24	0.97	5	1	2
94	"Beautiful Girls (1996)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	182	3.73	0.97	5	1	4
95	"Broken Arrow (1996)"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	638	2.88	1.04	5	1	3
96	"In the Bleak Midwinter (1995)"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	3.92	0.86	5	2	4
97	"Hate (Haine, La) (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	44	3.75	1.26	5	1	4
98	"Shopping (1994)"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	2	0.63	3	1	2
99	"Heidi Fleiss: Hollywood Madam (1995)"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	50	3.46	0.97	5	1	4
100	"City Hall (1996)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	128	3.06	0.96	5	1	3
101	"Bottle Rocket (1996)"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	253	3.87	0.92	5	1	4
102	"Mr. Wrong (1996)"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	1.82	0.93	4	1	2
103	"Unforgettable (1996)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	33	3.21	1.08	5	1	3
104	"Happy Gilmore (1996)"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	682	3.53	1.15	5	1	4
105	"Bridges of Madison County, The (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	387	3.23	1.11	5	1	3
106	"Nobody Loves Me (Keiner liebt mich) (1994)"	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	12	3.58	1.51	5	1	4
107	"Muppet Treasure Island (1996)"	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	256	3.15	1.11	5	1	3
108	"Catwalk (1995)"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	2.86	1.57	5	1	3
110	"Braveheart (1995)"	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2443	4.23	0.93	5	1	4
111	"Taxi Driver (1976)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1240	4.18	0.88	5	1	4
112	"Rumble in the Bronx (1995)"	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	570	3.44	0.95	5	1	4
113	"Before and After (1996)"	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	53	2.98	0.89	5	1	3
114	"Margaret's Museum (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	3.09	0.94	5	2	3
116	"Anne Frank Remembered (1995)"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	41	4.1	1.09	5	1	4
117	"Young Poisoner's Handbook, The (1995)"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	79	3.63	0.79	5	2	4
118	"If Lucy Fell (1996)"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	68	3.07	1.12	5	1	3
119	"Steal Big, Steal Little (1995)"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	2.46	1.2	5	1	2
120	"Race the Sun (1996)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	2.67	0.58	3	2	3
121	"Boys of St. Vincent, The (1993)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	37	4.05	0.66	5	3	4
122	"Boomerang (1992)"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	194	2.77	0.97	5	1	3
123	"Chungking Express (1994)"	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	115	3.87	1.05	5	1	4
124	"Star Maker, The (Uomo delle stelle, L') (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	3.21	1.19	5	1	3
125	"Flirting With Disaster (1996)"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	318	3.83	0.97	5	1	4
126	"NeverEnding Story III, The (1994)"	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	99	1.99	1.07	5	1	2
127	"Silence of the Palace, The (Saimt el Qusur) (1994)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	NA	1	1	1
128	"Jupiter's Wife (1994)"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	12	4.33	0.78	5	3	4.5
129	"Pie in the Sky (1995)"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	13	3.31	0.85	4	2	4
130	"Angela (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	4	1.41	5	3	4
131	"Frankie Starlight (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	16	3.06	0.93	5	1	3
132	"Jade (1995)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	91	2.49	1.02	5	1	3
133	"Nueba Yol (1995)"	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	NA	1	1	1
134	"Sonic Outlaws (1995)"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	4	0	4	4	4
135	"Down Periscope (1996)"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	133	2.81	1.12	5	1	3
136	"From the Journals of Jean Seberg (1995)"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	3.25	1.49	5	1	4
137	"Man of the Year (1995)"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	3	1.15	5	1	3
138	"Neon Bible, The (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2.5	2.12	4	1	2.5
139	"Target (1995)"	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	4	NA	4	4	4
140	"Up Close and Personal (1996)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	139	3.17	1.11	5	1	3
141	"Birdcage, The (1996)"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	682	3.55	0.95	5	1	4
142	"Shadows (Cienie) (1988)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	NA	1	1	1
144	"Brothers McMullen, The (1995)"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	433	3.39	0.92	5	1	3
145	"Bad Boys (1995)"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	362	3.3	1.04	5	1	3
146	"Amazing Panda Adventure, The (1995)"	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	2.89	1.41	5	1	3
147	"Basketball Diaries, The (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	181	3.54	1.05	5	1	4
148	"Awfully Big Adventure, An (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	23	2.78	1.13	5	1	3
149	"Amateur (1994)"	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	47	3.79	0.86	5	1	4
150	"Apollo 13 (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1251	4.07	0.8	5	1	4
151	"Rob Roy (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	554	3.59	0.94	5	1	4
152	"Addiction, The (1995)"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	69	3	1.16	5	1	3
153	"Batman Forever (1995)"	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	777	2.64	1.05	5	1	3
154	"Belle de jour (1967)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	168	3.73	0.91	5	1	4
155	"Beyond Rangoon (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	87	3.41	1.05	5	1	4
156	"Blue in the Face (1995)"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	66	3.56	1.02	5	1	3
157	"Canadian Bacon (1994)"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	187	2.73	1.2	5	1	3
158	"Casper (1995)"	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	2.98	1.01	5	1	3
159	"Clockers (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	116	3.28	0.9	5	1	3
160	"Congo (1995)"	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	565	2.24	1.01	5	1	2
161	"Crimson Tide (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	760	3.72	0.86	5	1	4
162	"Crumb (1994)"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	491	4.06	1.04	5	1	4
163	"Desperado (1995)"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	540	3.46	0.99	5	1	4
164	"Devil in a Blue Dress (1995)"	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	379	3.57	0.87	5	1	4
165	"Die Hard: With a Vengeance (1995)"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	825	3.56	1.01	5	1	4
166	"Doom Generation, The (1995)"	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	61	2.46	1.29	5	1	2
167	"Feast of July (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	3.6	0.89	5	3	3
168	"First Knight (1995)"	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	362	2.95	1.13	5	1	3
169	"Free Willy 2: The Adventure Home (1995)"	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	113	2.02	1.03	5	1	2
170	"Hackers (1995)"	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	321	3.15	1.12	5	1	3
171	"Jeffrey (1995)"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	93	3.57	1.05	5	1	4
172	"Johnny Mnemonic (1995)"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	458	2.58	1.1	5	1	3
173	"Judge Dredd (1995)"	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	564	2.31	1.03	5	1	2
174	"Jury Duty (1995)"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	81	2.31	1.17	5	1	2
175	"Kids (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	220	3.48	1.19	5	1	4
176	"Living in Oblivion (1995)"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	205	3.92	0.86	5	1	4
177	"Lord of Illusions (1995)"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	139	2.73	1.14	5	1	3
178	"Love & Human Remains (1993)"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	19	3.47	0.77	5	2	4
179	"Mad Love (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	48	2.21	0.9	5	1	2
180	"Mallrats (1995)"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	451	3.55	1.11	5	1	4
181	"Mighty Morphin Power Rangers: The Movie (1995)"	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	1.61	0.9	4	1	1
182	"Moonlight and Valentino (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	49	3.14	1.08	5	1	3
183	"Mute Witness (1994)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	29	3.48	0.95	5	1	4
184	"Nadja (1994)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	26	3.35	1.06	5	1	3
185	"Net, The (1995)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	569	2.87	1	5	1	3
186	"Nine Months (1995)"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	211	2.76	0.97	5	1	3
187	"Party Girl (1995)"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	105	3.24	1.07	5	1	3
188	"Prophecy, The (1995)"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	190	3.22	1.13	5	1	3
189	"Reckless (1995)"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15	3.4	0.99	5	2	3
190	"Safe (1995)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	100	3.75	1.1	5	1	4
191	"Scarlet Letter, The (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	75	2.47	1.04	5	1	2
192	"Show, The (1995)"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	3	1.41	4	2	3
193	"Showgirls (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	217	2.05	1.09	5	1	2
194	"Smoke (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	213	3.76	0.96	5	1	4
195	"Something to Talk About (1995)"	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	164	2.84	0.91	5	1	3
196	"Species (1995)"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	550	2.82	1	5	1	3
197	"Stars Fell on Henrietta, The (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	3.06	1.09	5	1	3
198	"Strange Days (1995)"	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	605	3.3	1.05	5	1	3
