"userID"	"sex"	"age"	"occupation"	"zip.code"	"nb.Ratings"	"mean"	"sd"	"max"	"min"	"med"
91	"M"	35	7	"07650"	44	4.7	0.55	5	3	5
92	"F"	18	4	"44243"	430	2.76	1.33	5	1	3
93	"M"	25	17	"95825"	220	2.97	1.28	5	1	3
94	"M"	25	17	"28601"	21	3.86	0.85	5	2	4
95	"M"	45	0	"98201"	99	3.6	0.99	5	1	4
96	"F"	25	16	"78028"	81	3.6	0.82	5	1	4
97	"F"	35	3	"66210"	154	4.47	0.63	5	2	5
98	"F"	35	7	"33547"	20	3.8	1.15	5	1	4
99	"F"	1	10	"19390"	107	3.21	1.35	5	1	3
100	"M"	35	17	"95401"	76	3.03	0.86	5	1	3
101	"F"	18	3	"33314"	106	4.68	0.61	5	3	5
102	"M"	35	19	"20871"	132	3.13	1.52	5	1	3
103	"M"	45	7	"92104"	115	4.05	0.97	5	1	4
104	"M"	25	12	"00926"	46	3.35	1.08	5	1	3
105	"M"	45	12	"90277"	61	4.3	0.9	5	1	5
106	"F"	35	11	"79101"	47	4.02	0.77	5	2	4
107	"M"	45	18	"63129"	121	3.74	0.71	5	2	4
108	"M"	25	12	"30316"	37	3.14	1.25	5	1	3
109	"M"	45	15	"92028"	81	4	0.65	5	1	4
110	"M"	25	2	"90803"	80	3.25	1.21	5	1	3
111	"M"	35	15	"55416"	92	3.73	0.77	5	2	4
112	"M"	25	16	"97209"	60	4.18	1.07	5	1	5
113	"M"	18	12	"37032"	68	3.5	1.25	5	1	4
114	"F"	25	2	"83712"	98	3.69	0.98	5	1	4
115	"M"	25	17	"28083"	38	3.84	1.1	5	2	4
116	"M"	25	17	"55744"	86	3.8	0.98	5	1	4
117	"M"	25	17	"33314"	505	3.3	1.07	5	1	3
118	"M"	35	17	"22315"	224	3.77	0.85	5	1	4
119	"F"	1	10	"77515"	105	3.54	0.9	5	1	3
120	"M"	25	11	"27106"	63	3.62	1.07	5	1	4
121	"M"	35	7	"75229"	72	4.42	0.87	5	1	5
122	"F"	18	4	"94305"	57	2.96	1.22	5	1	3
123	"M"	35	9	"67208"	608	3.4	0.81	5	1	3
124	"M"	56	7	"91356"	23	4.17	0.65	5	3	4
125	"M"	45	14	"01701"	71	4.1	0.76	5	2	4
126	"M"	18	9	"98117"	51	4	1.34	5	1	5
127	"F"	45	3	"01770"	174	3.84	0.88	5	2	4
128	"M"	56	6	"37922"	22	4.36	0.9	5	2	5
129	"M"	25	11	"20164"	158	4.03	0.89	5	1	4
130	"M"	35	17	"50021"	135	4.31	1.16	5	1	5
131	"M"	18	4	"06520"	295	3.4	1.09	5	1	4
132	"M"	25	17	"99709"	89	3.97	1.01	5	1	4
133	"F"	25	0	"55071"	170	3.77	1.14	5	1	4
134	"M"	25	0	"66212"	183	2.72	1.37	5	1	3
135	"M"	18	4	"20006"	70	3.66	1.45	5	1	4
136	"M"	18	2	"21202"	378	3.07	1.39	5	1	3
137	"F"	45	6	"78758"	201	3.61	0.68	5	1	4
138	"M"	18	20	"22203"	65	4.49	0.71	5	2	5
139	"F"	25	20	"45409"	245	3.88	1.05	5	1	4
140	"F"	35	1	"55107"	55	3.82	1.11	5	1	4
141	"M"	35	13	"62035"	23	3.7	1.29	5	1	4
142	"M"	25	7	"10011"	47	3.34	1.09	5	1	3
143	"M"	18	3	"64043"	68	3.54	1.19	5	1	4
144	"M"	25	17	"29401"	32	3.47	1.52	5	1	4
145	"M"	18	4	"19081"	39	3	1.3	5	1	3
146	"F"	35	20	"10954"	426	3.77	1.09	5	1	4
147	"M"	18	4	"91360"	187	3.5	0.95	5	1	4
148	"M"	50	17	"57747"	624	3.73	0.98	5	1	4
149	"M"	25	1	"29205"	592	3.94	0.93	5	1	4
150	"M"	35	7	"98144"	232	4.02	0.75	5	2	4
151	"F"	25	20	"85013"	471	3.65	1.02	5	1	4
152	"M"	18	4	"48104"	24	4.12	1.03	5	1	4
153	"M"	1	10	"51537"	26	4.08	1.23	5	1	5
154	"M"	50	20	"94530"	44	3.09	1.1	5	1	3
155	"M"	35	12	"07470"	96	2.97	1.36	5	1	3
156	"F"	45	7	"14519"	148	4.24	0.7	5	1	4
157	"M"	35	16	"12866"	427	3.72	0.77	5	2	4
158	"M"	56	7	"28754"	22	4	0.93	5	2	4
159	"F"	45	0	"37922"	36	3.78	0.83	5	2	4
160	"M"	35	7	"13021"	20	3.5	0.76	5	2	3
161	"M"	45	16	"98107-2117"	297	4.47	0.69	5	1	5
162	"F"	18	4	"93117"	107	4.12	0.96	5	1	4
163	"M"	18	4	"85013"	514	2.18	1.07	5	1	2
164	"F"	56	13	"94566"	26	4.38	0.64	5	3	4
165	"M"	18	16	"98502"	110	3.98	0.87	5	1	4
166	"M"	18	4	"92802"	410	3.69	0.96	5	1	4
167	"F"	25	11	"10022"	58	2.93	1.09	5	1	3
168	"F"	50	0	"46970"	26	3.85	1.26	5	1	4
169	"M"	25	7	"55439"	552	3.57	1	5	1	4
170	"M"	25	11	"07002"	87	3.99	1.09	5	1	4
171	"F"	50	17	"55441"	24	4	0.66	5	3	4
172	"M"	25	3	"07661"	23	3.61	0.78	5	2	4
173	"M"	25	0	"45237"	561	3.97	0.93	5	1	4
174	"M"	25	16	"21203"	97	3.65	1.01	5	1	4
175	"F"	25	2	"95123"	317	3.98	1.07	5	1	4
176	"F"	18	3	"55016"	78	3.62	1.05	5	1	4
177	"M"	50	1	"54016"	44	4.11	0.89	5	2	4
178	"M"	56	17	"53705"	115	3.84	0.84	5	1	4
179	"M"	25	0	"02135"	110	2.65	1.18	5	1	3
180	"M"	45	12	"01603"	59	3.69	0.79	5	2	4
181	"M"	18	17	"33186"	301	3.6	1.08	5	1	4
182	"M"	18	4	"03052"	83	3.83	1.2	5	1	4
183	"F"	45	1	"55407"	101	4.1	1.17	5	1	5
184	"F"	25	0	"19001"	84	4.08	1.04	5	1	4
185	"M"	45	0	"14468"	51	3.59	0.73	5	2	4
186	"M"	18	5	"91767"	122	4.25	0.79	5	2	4
187	"F"	45	1	"94061"	417	4.08	0.73	5	1	4
188	"M"	56	16	"79930"	71	3.17	1.11	5	1	3
189	"M"	18	0	"60076"	31	4	1.24	5	1	4
190	"M"	25	17	"55125"	153	3.7	1.12	5	1	4
191	"M"	18	4	"04915"	30	3.33	1.15	5	1	3
192	"M"	18	1	"10977"	525	3.09	1.2	5	1	3
193	"F"	45	15	"44106"	242	3.68	0.85	5	1	4
194	"F"	1	10	"29146"	59	3.98	0.88	5	1	4
195	"M"	25	12	"10458"	822	3.89	1.01	5	1	4
196	"F"	35	9	"94587"	32	4.06	0.8	5	3	4
197	"M"	18	14	"10023"	22	3.91	1.06	5	2	4
198	"M"	25	12	"55108"	379	3.75	1	5	1	4
199	"M"	18	4	"83706"	402	3.28	1.09	5	1	3
200	"F"	18	4	"84321"	26	3.42	1.27	5	1	3.5
201	"F"	35	2	"55117"	87	3.95	0.93	5	1	4
202	"M"	18	4	"53706"	670	3.25	1.07	5	1	3
203	"F"	18	4	"53715"	127	2.29	1.2	5	1	2
204	"M"	25	7	"92123"	446	3.56	0.98	5	1	4
205	"M"	35	12	"97333"	153	4.06	1.08	5	1	4
206	"M"	25	17	"20194"	30	3.07	1.76	5	1	3
207	"M"	25	12	"94115"	23	3.52	1.12	5	1	4
208	"M"	35	17	"55432"	184	3.65	1.05	5	1	4
209	"M"	35	1	"90048"	25	3.16	0.85	5	2	3
210	"F"	1	10	"25801"	110	4.03	1.36	5	1	5
211	"M"	45	17	"90620"	35	3.86	1.17	5	1	4
212	"M"	25	16	"53714"	110	3.85	0.75	5	2	4
213	"F"	18	4	"01609"	22	4.23	0.69	5	3	4
214	"M"	18	20	"80218"	166	3.16	1.16	5	1	3
215	"M"	35	14	"92075"	34	4.56	0.79	5	2	5
216	"M"	45	13	"52761"	794	3.23	1.03	5	1	3
217	"M"	18	4	"22903"	20	3.7	1.22	5	1	4
218	"M"	35	14	"95822"	86	3.09	1.2	5	1	3
219	"F"	25	4	"55113"	36	3.33	0.86	5	1	3
220	"M"	25	12	"22903"	102	4.22	0.92	5	1	4
221	"F"	25	0	"94063"	29	3.24	1.09	5	1	3
222	"M"	25	1	"55116"	80	4.09	0.8	5	2	4
223	"M"	25	17	"28262"	256	3.44	1.28	5	1	4
224	"F"	18	4	"14850"	204	3.4	1.08	5	1	3
225	"M"	25	7	"11215"	508	3.43	1.1	5	1	4
226	"M"	35	1	"94518"	21	3.57	1.08	5	2	4
227	"M"	35	20	"90291"	28	3.29	1.08	5	1	3
228	"M"	25	15	"55455"	31	4	1.1	5	1	4
229	"M"	18	10	"04576"	212	3.43	1.09	5	1	3
230	"M"	45	1	"43210"	179	4.09	0.87	5	1	4
231	"M"	25	3	"55455"	97	4.23	1.18	5	1	5
232	"M"	25	20	"55408"	90	3.57	1.21	5	1	4
233	"F"	45	20	"37919-4204"	53	4.58	0.69	5	2	5
234	"M"	35	7	"39652"	29	4.31	0.89	5	1	4
235	"M"	25	0	"98153"	440	4.09	0.94	5	1	4
236	"M"	25	5	"55126"	62	3.69	1.14	5	1	4
237	"M"	25	6	"46835"	166	3.4	1.06	5	1	4
238	"F"	50	7	"90291"	258	3.79	0.85	5	2	4
239	"M"	18	19	"94618"	71	4.14	1.03	5	1	4
240	"M"	50	17	"55113"	143	3.3	0.84	5	1	3
241	"M"	35	20	"55121"	57	3.96	1	5	1	4
242	"F"	18	4	"53706"	273	3.21	1.03	5	1	3
243	"M"	25	16	"11576"	33	3.61	1.2	5	1	4
244	"M"	50	7	"19072"	85	4.11	0.82	5	1	4
245	"M"	35	16	"66046"	764	2.67	0.96	5	1	3
246	"F"	18	4	"60625"	29	4	0.93	5	2	4
247	"M"	25	17	"94404"	31	3.94	0.93	5	2	4
248	"M"	18	17	"72703"	34	4.21	0.88	5	3	4.5
249	"F"	18	14	"48126"	110	3.95	1.16	5	1	4
250	"M"	35	16	"11229"	20	3.75	0.85	5	2	4
251	"M"	56	17	"55105"	73	3.58	0.78	5	2	4
252	"M"	25	12	"94112"	60	4.02	0.77	5	2	4
253	"F"	25	11	"97370"	53	3.92	0.87	5	1	4
254	"M"	35	17	"49015"	23	3.78	0.74	5	2	4
255	"M"	35	0	"85310"	244	4.02	0.6	5	2	4
256	"M"	45	16	"55076"	95	3.85	1.03	5	1	4
257	"M"	18	18	"55113"	53	4.45	0.97	5	1	5
258	"M"	25	7	"55436"	145	3.72	1.12	5	1	4
259	"M"	25	1	"60615"	139	4.04	0.83	5	1	4
260	"M"	18	19	"98126"	154	3.31	1.13	5	1	3
261	"M"	25	20	"75801"	354	3.58	1.06	5	1	4
262	"F"	25	1	"68503"	106	3.33	1.08	5	1	3
263	"F"	25	7	"22304"	92	3.66	1.15	5	1	4
264	"M"	35	0	"20755"	480	2.79	1	5	1	3
265	"F"	35	7	"55116"	98	4.19	0.89	5	1	4
266	"M"	35	11	"75229"	50	4.52	0.71	5	3	5
267	"M"	45	12	"55001"	131	3.39	0.92	5	1	3
268	"F"	18	12	"29708"	261	3.39	1.11	5	1	4
269	"M"	25	2	"55408"	30	3.8	1.27	5	1	4
270	"M"	50	14	"55414"	126	4.2	0.83	5	1	4
271	"M"	18	4	"48202"	312	3.96	0.93	5	1	4
272	"M"	18	0	"80302"	482	3.65	1.23	5	1	4
273	"M"	18	4	"55427"	187	3.73	0.9	5	1	4
274	"M"	18	4	"55455"	148	4.24	0.85	5	1	4
275	"M"	25	0	"48162"	89	4.25	1.1	5	1	5
276	"M"	45	16	"01982"	23	3.52	0.99	5	2	4
277	"F"	35	1	"98126"	22	3.73	0.77	5	2	4
278	"M"	45	18	"60482"	198	3.96	0.93	5	1	4
279	"M"	25	14	"91214"	47	2.87	1.06	5	1	3
280	"M"	50	7	"19118"	50	3.94	1.06	5	1	4
281	"F"	35	0	"94117"	111	3.89	1.13	5	1	4
282	"M"	25	17	"94401"	29	3.52	0.83	5	2	4
283	"M"	25	0	"10003"	27	4.96	0.19	5	4	5
284	"M"	25	12	"91910"	471	3.02	1.37	5	1	3
285	"F"	35	0	"94109"	139	4.17	0.91	5	1	4
286	"M"	25	1	"54601"	43	3.88	0.93	5	2	4
287	"M"	50	13	"94706"	103	3.71	0.72	5	2	4
288	"F"	25	12	"97119"	56	4.59	0.6	5	3	5
289	"F"	25	0	"11801"	74	3.91	0.88	5	1	4
290	"F"	25	20	"94591"	33	3.3	1.31	5	1	3
291	"M"	35	12	"55110"	102	4.14	0.76	5	1	4
292	"M"	35	7	"19406"	41	3.76	0.94	5	2	4
293	"M"	56	1	"55337-4056"	317	3.25	1.51	5	1	4
294	"F"	45	9	"43147"	49	3.49	1.04	5	1	4
295	"M"	18	0	"80203"	191	3.76	1.16	5	1	4
296	"M"	50	5	"89432"	97	3.6	1.57	5	1	4
297	"M"	18	2	"97211"	89	4	0.87	5	2	4
298	"F"	18	4	"19010"	27	3.93	0.83	5	2	4
299	"M"	25	12	"97370"	104	4.16	0.86	5	1	4
300	"M"	25	7	"78664"	249	4.18	0.94	5	1	4
301	"M"	18	4	"61820"	357	3.8	1.17	5	1	4
302	"M"	18	4	"04901"	788	2.87	1.21	5	1	3
303	"M"	25	7	"20006"	209	3.86	1.15	5	1	4
304	"M"	25	0	"55414"	27	3.56	1.25	5	1	4
305	"F"	18	0	"55414"	157	2.56	1.44	5	1	2
306	"M"	18	0	"53051"	193	3.94	0.77	5	2	4
307	"M"	50	16	"90027"	182	4.59	0.87	5	1	5
308	"M"	25	2	"10025"	557	3.39	0.88	5	1	4
309	"M"	25	4	"16801"	123	4.04	0.71	5	2	4
310	"F"	18	4	"31207"	223	3.43	1.23	5	1	4
311	"M"	18	4	"31201"	20	4.15	1.09	5	1	4
312	"F"	50	2	"22207"	57	3.74	0.61	5	3	4
313	"F"	18	4	"02138"	26	4.04	0.82	5	2	4
314	"F"	56	9	"46911"	293	3.7	1.12	5	1	4
315	"F"	56	1	"55105"	22	3.86	1.17	5	1	4
316	"M"	56	13	"90740"	77	4.12	0.78	5	2	4
317	"M"	35	7	"38555"	21	3.81	0.93	5	2	4
318	"F"	56	13	"55104"	21	3.95	0.92	5	2	4
319	"F"	50	6	"33436"	721	3.26	1.01	5	1	3
320	"M"	35	6	"99516"	21	4.24	0.83	5	2	4
321	"M"	18	4	"55128"	222	3.26	1.23	5	1	3
322	"M"	56	17	"55117"	40	4.45	0.78	5	2	5
323	"M"	45	12	"53716"	118	3.79	1.1	5	1	4
324	"M"	35	17	"55106"	76	3.33	1.09	5	1	4
325	"F"	50	3	"55112"	43	4.05	1.15	5	1	4
326	"M"	50	11	"25302"	379	3.34	0.89	5	1	3
327	"M"	35	18	"55448"	236	3.67	0.99	5	1	4
328	"M"	35	12	"80401"	62	3.03	0.87	5	1	3
329	"M"	35	7	"02115"	764	2.73	1.12	5	1	3
330	"M"	56	7	"92065"	76	4.01	0.79	5	2	4
331	"M"	25	7	"55902"	584	3.77	1.05	5	1	4
332	"M"	50	1	"55109"	67	4.28	0.98	5	1	5
333	"M"	35	2	"55410"	227	3.35	1.18	5	1	3
334	"F"	56	2	"55113"	61	3.95	0.8	5	2	4
335	"M"	35	18	"55434"	148	2.5	1.4	5	1	2
336	"M"	18	0	"98765"	107	4.31	1.09	5	1	5
337	"M"	18	19	"80205"	198	3.53	1.21	5	1	4
338	"M"	35	7	"55116"	362	3.67	0.99	5	1	4
339	"M"	50	7	"80207"	124	4.02	0.79	5	1	4
340	"F"	25	3	"28001"	108	3.53	0.96	5	1	3.5
341	"F"	56	13	"92119"	20	4.2	0.95	5	2	4.5
342	"M"	18	12	"55076"	123	3.69	0.87	5	1	4
343	"F"	35	3	"55127"	297	4.05	0.94	5	1	4
344	"M"	35	14	"75034"	90	2.96	1.41	5	1	3
345	"M"	25	12	"94114"	25	4.4	0.91	5	2	5
346	"F"	25	0	"55110"	283	4.31	0.8	5	1	4
347	"F"	56	1	"55305"	99	3.88	1.07	5	1	4
348	"M"	50	7	"55110"	100	3.78	0.99	5	1	4
349	"M"	1	10	"08035"	268	3.25	1.04	5	1	3
350	"M"	45	20	"08035"	64	3.94	0.91	5	1	4
351	"M"	18	4	"55105"	103	3.76	1.05	5	1	4
352	"M"	18	4	"60115"	870	3.48	1.09	5	1	4
353	"F"	35	7	"92625"	24	3.92	1.06	5	1	4
354	"M"	35	1	"55117"	58	3.59	1.2	5	1	4
355	"M"	18	3	"55107"	419	3.45	1.06	5	1	4
356	"M"	56	20	"55101"	21	4.38	0.67	5	3	4
357	"M"	18	0	"98103"	58	3.29	1.59	5	1	4
358	"F"	56	1	"20815"	72	3.85	0.91	5	2	4
359	"M"	25	17	"55128"	49	3.86	0.89	5	1	4
360	"M"	35	17	"28208"	67	3.64	0.67	5	2	4
361	"F"	25	14	"94115"	26	3.54	1.14	5	1	4
362	"M"	35	20	"55407"	55	3.29	1.08	5	1	3
363	"M"	18	10	"55419"	43	3.74	1.09	5	1	4
364	"F"	35	1	"46815"	28	3.14	1.15	5	1	4
365	"F"	18	4	"02138"	47	3.34	1.07	5	1	3
366	"M"	50	15	"55126"	259	4.07	0.94	5	1	4
367	"M"	50	12	"55421"	28	4.25	0.65	5	3	4
368	"M"	25	0	"90293"	320	3.78	0.95	5	1	4
369	"M"	35	1	"55110"	87	3.2	1.05	5	1	3
370	"M"	18	17	"22304"	60	3.75	1.05	5	1	4
371	"M"	18	4	"02141"	78	3.5	1.24	5	1	3
372	"F"	18	4	"72227"	168	4.55	0.78	5	1	5
373	"F"	25	2	"55347"	27	3.56	0.75	5	2	3
374	"F"	35	14	"55346"	52	4.4	0.72	5	3	5
375	"M"	25	2	"55106"	51	4.08	0.87	5	1	4
376	"M"	35	1	"80026"	117	4.11	0.9	5	1	4
377	"M"	25	17	"55418"	136	3.9	0.87	5	2	4
378	"F"	18	0	"55105"	39	3.51	1.37	5	1	4
379	"F"	35	1	"54822"	64	4.23	1	5	1	4.5
380	"M"	25	2	"92024"	138	3.72	1.18	5	1	4
381	"M"	35	17	"89015"	35	4.11	1.16	5	1	5
382	"F"	35	20	"66205"	56	4.02	1.09	5	1	4
383	"F"	25	7	"78757"	21	3.57	0.98	5	1	4
384	"M"	25	11	"55075"	22	3.59	1.01	5	2	4
385	"M"	25	6	"68131"	137	3.96	1.1	5	1	4
386	"M"	25	0	"55408"	260	3.32	1.26	5	1	3
387	"F"	35	7	"55111"	68	3.68	0.94	5	1	4
388	"F"	25	0	"10021"	59	3.88	0.98	5	1	4
389	"M"	25	6	"68128"	73	3.56	1.42	5	1	4
390	"M"	25	4	"55405"	214	3.67	1.09	5	1	4
391	"M"	45	11	"22122"	81	3.73	1.24	5	1	4
392	"M"	18	7	"20037"	487	3.47	1.03	5	1	4
393	"M"	35	17	"55402"	74	3.58	0.97	5	1	4
394	"M"	18	0	"55013"	38	3.34	0.67	5	2	3
395	"M"	18	5	"55104"	23	3.61	1.34	5	1	4
396	"M"	25	1	"56187"	173	3.56	1.04	5	1	4
397	"M"	35	17	"22124"	34	3.88	0.77	5	2	4
398	"M"	25	17	"55454"	225	3.81	0.96	5	1	4
399	"F"	35	6	"55128"	32	4.16	0.99	5	1	4
400	"F"	18	3	"55422"	40	3.88	0.99	5	1	4
401	"M"	18	0	"55129"	78	3.87	0.84	5	2	4
402	"M"	25	11	"55427"	284	3.59	0.87	5	1	4
403	"M"	18	4	"02138"	280	3.8	0.98	5	1	4
404	"M"	18	4	"10128"	50	4.14	0.86	5	2	4
405	"M"	56	1	"13077"	49	3.8	0.82	5	2	4
406	"M"	25	20	"55105"	147	3.31	1.01	5	1	3
407	"M"	18	17	"89503"	32	3.44	1.52	5	1	4
408	"M"	25	11	"02143"	156	4.35	1.02	5	1	5
409	"M"	18	12	"55122"	297	3.92	0.76	5	1	4
410	"F"	25	1	"55417"	96	3.97	0.8	5	2	4
411	"F"	45	1	"43214"	635	3.28	1.02	5	1	3
412	"M"	35	15	"55117"	476	4.4	0.81	5	1	5
413	"M"	25	11	"55409"	99	4.4	0.73	5	1	5
414	"M"	25	0	"55317"	57	3.07	1.13	5	1	3
415	"F"	35	0	"55406"	271	3.87	0.7	5	1	4
416	"M"	45	14	"55076"	62	3.76	0.95	5	1	4
417	"F"	25	0	"50613"	22	4.05	0.9	5	3	4
418	"F"	25	3	"54016"	51	3.55	1.22	5	1	4
419	"M"	18	3	"55422"	108	3.96	0.99	5	1	4
420	"M"	35	1	"55406"	64	4.36	0.74	5	3	5
421	"F"	45	3	"55125"	20	4.25	1.02	5	1	4.5
422	"M"	56	17	"55104"	47	3.3	1.02	5	1	4
423	"M"	18	4	"55455"	64	2.5	1.28	5	1	2
424	"M"	25	17	"55112"	1226	3.74	0.95	5	1	4
425	"M"	25	12	"55303"	189	3.66	0.83	5	1	4
426	"M"	18	4	"55455"	239	3.76	1.05	5	1	4
427	"M"	35	12	"55104"	27	4.11	0.7	5	3	4
428	"F"	18	4	"55455"	50	3.9	1.16	5	1	4
429	"M"	18	0	"54901"	346	3.35	1.18	5	1	3
430	"F"	18	10	"55306"	63	3.97	1.34	5	1	5
431	"M"	18	10	"55303"	84	3.63	1.21	5	1	4
432	"M"	45	16	"55306"	73	2.99	1.16	5	1	3
433	"M"	50	6	"55115"	46	3.39	1.34	5	1	3.5
434	"F"	45	3	"98155"	43	4.02	0.8	5	2	4
435	"M"	25	7	"55125"	132	3.83	0.94	5	1	4
436	"M"	18	4	"43023"	133	3.83	1.18	5	1	4
437	"M"	35	17	"55030"	52	4.31	0.73	5	3	4
438	"M"	18	11	"53705"	602	3.53	1.05	5	1	4
439	"M"	35	14	"55129"	92	3.9	0.96	5	1	4
440	"M"	56	1	"32940"	29	3.59	1.18	5	1	4
441	"M"	35	1	"55127"	47	3.96	0.88	5	2	4
442	"M"	25	1	"55105"	423	3.85	1.04	5	1	4
443	"M"	25	3	"55421"	34	3.82	1.11	5	1	4
444	"M"	56	0	"55108"	120	4	0.7	5	2	4
445	"M"	45	12	"55117"	286	3.32	1.07	5	1	3
446	"F"	50	0	"55042"	51	4.84	0.46	5	3	5
447	"F"	45	11	"55105"	37	4.84	0.37	5	4	5
448	"M"	25	17	"80123"	23	3.43	1.24	5	1	4
